#Complex	IC50	 E_elec	 E_vdw	 E_gbsa	 MD_sasa	 MD_h1	 MD_h2	 MD_h3	 IC_AA	 IC_PP	 IC_CC	 IC_AP	 IC_CP	 IC_AC	 ENM_EXP	 ENM_R6	 RFCB	 RFHA	 ZRANK	 ZRANKr	 DFIRE	 prodigy	 NIS_A	 NIS_C	 foldx
26191_2_48__1B2530	0.79	-2018.096893	-498.216636	2360.396543	-31.580864	15.833333	14.000000	-1.650439	14.666667	9.666667	18.500000	13.166667	18.333333	36.500000	104.333549	244.355688	23.806617	88.380000	-214.484000	-546.789667	-15.861832	-18.082333	43.495000	19.738333	-4.896057
3168_V4_C10__1B2530	5.27	-1444.799258	-485.319443	1842.747140	-30.417315	15.166667	12.833333	-1.725896	13.500000	6.500000	21.000000	12.666667	21.166667	32.333333	103.607563	247.346643	26.280850	165.710000	-172.766333	-456.197333	-14.226702	-18.957500	41.433333	20.910000	-3.654431
3301_V1_C24__1B2530	0.203	-1601.481127	-485.619875	2002.060289	-29.458668	13.000000	11.333333	-2.733302	11.666667	7.166667	17.500000	15.833333	18.833333	33.666667	100.797050	244.040434	20.644183	80.878333	-181.171833	-458.990667	-14.264578	-19.527833	42.715000	20.691667	-6.298525
3337_V2_C6__1B2530	0.085	-1595.348514	-485.706230	1985.566140	-30.272242	13.166667	11.500000	-2.219317	12.333333	8.833333	16.500000	19.166667	16.000000	32.000000	102.744297	240.644418	21.642633	55.881667	-196.455667	-468.012667	-14.129783	-19.990333	43.086667	19.276667	-5.457005
3365_V2_C20__1B2530	3.04638	-1470.440607	-493.982948	1856.989040	-31.047986	14.166667	11.500000	-2.161558	10.833333	9.500000	18.333333	14.166667	19.500000	32.666667	101.265865	244.958842	27.788617	54.658333	-210.924500	-506.010833	-14.859718	-18.247500	41.255000	19.543333	-4.373864
3415_V1_C1__1B2530	0.67454	-1335.701027	-515.649103	1772.366084	-31.115112	13.166667	11.500000	-1.711528	12.000000	7.666667	20.666667	11.833333	20.333333	35.333333	101.576132	247.464558	25.258300	118.981667	-212.224833	-496.601833	-14.608484	-18.694833	43.055000	18.473333	-7.613825
3988_25__1B2530	5.31	-1173.614809	-483.855251	1565.680485	-31.216935	14.666667	11.833333	-1.553973	14.000000	9.833333	17.333333	17.000000	20.333333	30.166667	102.845767	245.088106	26.683833	131.388333	-184.594833	-434.520500	-14.207310	-18.354167	43.075000	19.670000	-2.837082
5768_4__1B2530	1.09	-978.126736	-497.790633	1411.617341	-30.686031	12.666667	9.666667	-1.109662	13.666667	6.833333	17.833333	15.333333	22.000000	30.166667	102.538743	249.902953	27.952233	131.590000	-154.640500	-364.500833	-14.140991	-18.964667	42.911667	19.193333	-3.974975
6644_V2_C33__1B2530	13.8	-2495.787705	-508.320479	2875.120301	-32.528035	14.833333	12.333333	-2.203496	13.000000	9.500000	18.500000	14.666667	24.166667	30.000000	106.761309	251.850351	22.913550	108.851667	-203.549167	-487.589500	-15.662243	-17.696500	43.341667	18.718333	-2.763663
6785_V5_C14__1B2530	1.01	-1484.762609	-505.771102	1886.051330	-32.564798	11.833333	9.666667	-1.228633	14.666667	8.500000	18.666667	16.000000	19.833333	31.000000	105.463434	247.871517	24.941200	85.461667	-197.338500	-470.595000	-15.153200	-18.812333	43.986667	18.656667	-4.582585
89_6__1B2530	1.36	-340.804859	-499.585461	778.034411	-31.529657	13.000000	10.000000	-0.786781	13.000000	9.166667	17.333333	13.166667	21.166667	31.166667	103.790238	246.891971	24.228017	119.796667	-188.357500	-451.998000	-14.471018	-17.206000	42.756667	19.168333	-2.451890
92RW020_2__1B2530	0.961	-632.196029	-495.106104	1012.413259	-30.922560	15.000000	12.666667	-1.903526	11.500000	9.000000	17.166667	14.666667	21.666667	29.666667	100.741859	241.300298	24.961033	48.708333	-189.825500	-449.781667	-14.503970	-17.459500	42.551667	20.613333	-7.021900
ADA__1B2530	7.77	-759.902031	-477.118851	1179.039706	-28.582681	13.500000	11.000000	-2.173510	10.000000	6.000000	17.333333	14.333333	18.166667	29.500000	100.386019	245.488620	23.304733	169.568333	-178.235500	-397.925833	-12.985946	-18.604333	42.806667	19.370000	-4.471300
BI369_9A__1B2530	2.06	-1063.418048	-530.705775	1475.375707	-31.477154	14.500000	11.666667	-3.104729	16.500000	7.666667	17.666667	14.166667	20.000000	36.666667	102.507869	248.629908	22.411033	-3.148333	-232.890000	-555.957833	-15.811318	-19.624167	41.326667	19.556667	-7.850607
BR07__1B2530	0.972	-1614.804677	-480.928199	1993.941334	-30.356005	14.000000	11.333333	-2.582359	14.500000	8.000000	16.833333	14.500000	19.500000	31.333333	103.770493	248.125465	24.271650	108.138333	-211.286833	-492.864500	-14.188651	-18.260500	42.621667	18.960000	-6.535965
BS208_B1__1B2530	24.3	-1888.195622	-539.421553	2295.145521	-33.146207	14.666667	11.333333	-2.024887	15.666667	8.833333	18.833333	16.333333	20.500000	35.833333	101.418531	242.324508	21.709250	15.450000	-221.306167	-549.456667	-15.818755	-19.876667	43.156667	19.453333	-7.739750
BX08_16__1B2530	0.248	-1336.897330	-502.856884	1764.148351	-30.171563	12.000000	9.833333	-2.612488	13.166667	9.333333	16.333333	14.333333	21.000000	34.333333	103.352791	244.115873	24.820667	122.200000	-171.620000	-421.994667	-14.247447	-18.131500	43.055000	18.641667	-4.139868
C1080_C3__1B2530	3.37	-1261.284403	-496.485595	1661.262359	-30.939983	14.166667	11.333333	-1.729535	14.000000	7.833333	15.166667	18.500000	21.166667	32.666667	103.745773	246.153912	25.235633	65.558333	-194.737667	-477.420667	-14.540055	-20.009833	43.083333	18.923333	-3.332940
C2101_C1__1B2530	0.743	-832.608575	-496.753282	1222.764492	-31.322796	16.166667	11.833333	-2.863604	13.000000	10.166667	16.000000	19.500000	20.000000	33.333333	103.028670	244.971605	24.031183	95.226667	-186.789500	-454.618833	-14.484282	-19.753167	43.995000	18.325000	-6.288998
C4118_9__1B2530	0.267	-1220.637556	-465.618225	1627.523420	-29.605412	11.166667	9.666667	-1.221901	12.166667	9.000000	13.500000	18.166667	19.500000	29.166667	103.653141	245.613422	21.214067	66.906667	-168.598333	-426.393667	-13.541325	-18.220333	44.085000	18.765000	-4.381835
CAAN5342__1B2530	2.12	-2801.575938	-494.510689	3220.753710	-30.848067	11.000000	8.833333	-1.605977	14.833333	7.166667	17.333333	15.333333	20.333333	32.833333	103.486183	247.272255	23.004600	183.010000	-170.399167	-406.064667	-14.694626	-19.069000	44.308333	18.783333	-4.305718
CH181_12__1B2530	0.3	-1121.826458	-495.244630	1510.678138	-31.405842	12.500000	11.166667	-2.796969	15.000000	9.333333	17.333333	15.333333	20.166667	34.000000	103.042498	249.152442	23.572650	108.550000	-207.370000	-495.120500	-14.790307	-18.735333	42.878333	18.676667	-6.414970
CNE14__1B2530	3.64	-1521.152079	-504.104064	1970.595748	-30.475628	11.000000	9.833333	-2.364950	12.833333	8.000000	16.000000	15.500000	21.000000	30.166667	101.505549	244.474528	19.043033	127.793333	-187.637000	-443.116667	-14.521042	-18.529833	42.181667	18.058333	-5.370550
CNE30__1B2530	2.87	-1256.552421	-493.578448	1665.348352	-30.955371	13.000000	10.833333	-1.355957	13.500000	11.000000	17.166667	14.166667	19.000000	31.000000	103.241323	253.773700	24.228967	79.310000	-186.894333	-473.383667	-14.615256	-16.827167	43.545000	18.465000	-3.432475
CNE4__1B2530	0.892	-514.204804	-481.543346	913.008241	-30.820638	14.166667	12.166667	-1.366753	13.333333	8.333333	16.166667	16.833333	22.166667	28.666667	105.680972	250.785695	23.650367	113.958333	-194.914333	-468.273667	-14.147630	-18.377000	44.665000	17.291667	-5.512282
CNE5__1B2530	3.36	-781.112899	-459.028256	1197.390772	-28.801310	11.333333	9.500000	-1.447820	10.500000	7.833333	13.666667	14.500000	17.666667	30.666667	100.543276	245.926592	18.898517	92.306667	-150.910333	-378.068667	-13.322212	-17.675333	41.955000	19.268333	-6.190945
CNE53__1B2530	0.346	-1444.436170	-477.406480	1845.985340	-30.192641	13.500000	10.666667	-1.505910	10.666667	10.500000	15.666667	16.333333	21.833333	29.666667	100.517292	244.763867	23.145800	61.410000	-188.110500	-464.251667	-14.615827	-17.529167	42.728333	19.031667	-5.188790
CNE55__1B2530	1.54	-959.357931	-485.552873	1407.451811	-30.877293	11.333333	10.166667	-1.061356	14.500000	7.333333	16.500000	16.833333	20.000000	33.333333	104.266203	244.676200	24.819567	100.345000	-166.965667	-434.120833	-13.660022	-19.621000	43.225000	20.286667	-3.941921
CNE56__1B2530	0.79	-999.047312	-494.464245	1418.704200	-31.215263	14.333333	12.166667	-2.271853	9.666667	9.166667	18.333333	15.666667	21.166667	34.666667	100.554108	244.144395	21.224583	74.040000	-214.414667	-507.974833	-14.835191	-19.162833	42.423333	20.103333	-4.899560
CNE57__1B2530	1.48	-158.527344	-508.857192	591.642209	-31.786443	11.333333	9.500000	-2.182729	12.000000	8.333333	17.833333	16.833333	19.500000	32.666667	100.480537	243.195890	25.778533	173.751667	-182.507167	-413.101167	-15.065132	-19.531167	42.871667	19.438333	-4.260875
CNE59__1B2530	1.15	-1241.514979	-484.331421	1640.173141	-29.641401	12.833333	10.333333	-1.483744	12.166667	9.166667	13.500000	17.000000	19.666667	29.333333	101.234155	244.439113	18.657367	-18.541667	-155.201667	-407.810000	-13.554302	-17.800833	43.548333	18.470000	-4.394577
HT593_1__1B2530	0.844	-1151.757204	-493.648936	1540.737711	-30.093519	14.000000	11.500000	-2.045695	12.500000	9.833333	14.833333	14.166667	21.833333	31.666667	102.549871	252.236853	27.480433	174.638333	-183.061500	-434.744167	-14.217602	-17.116667	42.811667	18.440000	-5.687273
HXB2__1B2530	0.038	-456.649545	-498.687673	891.788479	-32.121859	11.500000	9.833333	-1.503957	13.166667	8.166667	18.500000	13.500000	18.333333	30.666667	103.298762	247.767805	26.956317	85.108333	-193.135667	-455.712833	-14.586731	-17.916833	42.678333	18.933333	-3.074858
JRCSF__1B2530	0.102	-943.006098	-505.583596	1349.368956	-30.640135	13.333333	11.166667	-2.455869	13.666667	7.000000	15.833333	15.333333	25.166667	33.166667	103.265229	246.203333	26.941017	222.118333	-178.261333	-418.202333	-14.920079	-18.926000	42.793333	20.768333	-1.620233
JRFL__1B2530	2.0	-1970.805577	-449.919180	2335.119784	-28.924675	12.333333	9.666667	-2.123014	12.166667	6.500000	14.666667	14.000000	19.333333	30.166667	100.860468	243.563081	25.131400	125.048333	-179.396000	-433.298833	-13.263019	-17.827000	42.693333	19.953333	-4.005582
KER2018_11__1B2530	6.23	-1228.762290	-502.747908	1659.210514	-31.234510	12.333333	10.666667	-1.398794	14.333333	8.500000	15.333333	13.333333	21.333333	32.333333	103.486411	247.216178	23.679683	100.923333	-173.714333	-429.742833	-14.347798	-17.260833	43.930000	18.575000	-4.377930
KNH1209_18__1B2530	49.0	-679.517024	-525.201567	1105.120229	-32.364272	14.333333	11.833333	-1.637825	12.500000	10.333333	18.666667	17.166667	20.333333	35.666667	103.281974	246.506902	25.984183	42.313333	-226.801333	-537.413333	-15.445017	-19.976667	41.946667	18.376667	-6.403523
M02138__1B2530	1.78	-612.695514	-463.556454	996.007367	-29.491385	12.500000	10.166667	-1.923892	12.333333	7.000000	13.666667	14.666667	21.166667	29.500000	100.291776	244.306303	22.162583	98.295000	-175.832000	-422.348833	-13.659594	-17.656667	42.595000	19.755000	-5.797612
MI369_A5__1B2530	2.68	-861.767517	-514.588163	1282.993278	-30.578164	12.666667	10.833333	-2.808566	15.000000	8.166667	17.666667	15.000000	18.833333	32.666667	102.742693	248.550506	24.856317	27.601667	-214.901667	-542.813333	-15.411746	-18.928833	42.376667	18.696667	-7.477212
NKU3006_EC1__1B2530	0.581	-272.807774	-506.523133	674.754911	-32.535800	15.666667	13.666667	-1.523537	14.333333	11.333333	17.166667	17.500000	20.333333	30.833333	104.428778	250.591088	26.462417	119.161667	-203.614833	-492.456333	-15.307281	-18.251833	42.023333	19.966667	-7.115365
PVO_4__1B2530	0.355	-862.895791	-488.555364	1283.572682	-29.928720	12.500000	10.166667	-1.952710	12.166667	7.000000	17.000000	16.333333	19.666667	31.666667	101.941369	248.824636	23.632700	114.460000	-179.388833	-424.438500	-14.495345	-19.411333	43.153333	19.473333	-4.414590
Q23_17__1B2530	14.6	-1167.893112	-509.677261	1612.444241	-31.609341	13.333333	10.166667	-0.744731	14.000000	7.166667	18.666667	12.333333	19.833333	31.833333	103.307804	244.813132	27.711200	71.505000	-210.172500	-521.432667	-14.313404	-17.844833	43.216667	19.651667	-3.949947
Q259_17__1B2530	0.28	-1016.491921	-465.776826	1433.087643	-29.351780	12.166667	9.333333	-1.231043	10.500000	7.000000	16.666667	13.000000	18.333333	32.333333	100.579243	243.203567	28.637283	111.133333	-174.003000	-441.858333	-13.402087	-18.015000	42.576667	19.935000	-4.373805
Q461_E2__1B2530	1.53	-1444.799962	-478.090582	1809.700344	-30.167423	16.166667	13.500000	-2.292366	11.500000	7.000000	14.333333	14.166667	21.500000	32.833333	99.265585	246.612878	20.934583	53.888333	-207.823167	-514.476000	-13.505400	-18.392833	41.936667	19.420000	-7.097623
Q842_D12__1B2530	3.15595	-1113.037307	-517.892077	1521.721208	-31.804647	15.333333	12.500000	-2.255953	13.833333	9.666667	15.833333	12.833333	21.333333	33.500000	103.859321	245.235270	29.795117	59.705000	-208.289500	-493.425667	-15.358392	-16.994167	42.598333	19.736667	-7.335387
QH0515_1__1B2530	8.97	-141.843407	-476.072787	550.255118	-29.112302	12.500000	10.500000	-2.706235	11.166667	8.333333	14.500000	15.333333	20.500000	31.333333	101.247760	247.773658	21.042517	76.843333	-179.658500	-445.992000	-13.385886	-18.079500	41.913333	19.826667	-5.046874
QH0692_42__1B2530	5.7	-1043.901793	-494.259936	1478.447154	-30.557795	10.833333	9.000000	-1.954620	10.000000	7.833333	17.166667	15.833333	18.666667	33.000000	101.257360	249.205904	22.833633	134.125000	-190.361333	-442.105667	-14.362902	-19.286667	43.240000	18.415000	-4.776403
QH209_14M_A2__1B2530	49.3	-1300.685243	-510.677648	1681.400337	-31.808622	16.166667	14.000000	-2.400419	11.666667	8.166667	17.833333	16.333333	23.166667	31.000000	100.197152	244.441906	26.985917	-20.175000	-204.351667	-504.617500	-15.461365	-18.934167	42.573333	20.585000	-7.165682
R1166_C1__1B2530	0.40817	-358.416874	-487.737474	753.564088	-30.859636	13.333333	11.000000	-0.688189	13.833333	8.333333	13.000000	17.166667	22.000000	29.833333	103.925741	248.887385	21.278700	57.456667	-190.112333	-466.904833	-13.935704	-18.254000	42.490000	19.575000	-4.535961
R2184_C4__1B2530	0.181	-398.053838	-474.284343	789.845455	-29.545364	12.000000	8.833333	-2.197825	8.166667	6.500000	16.000000	16.500000	25.333333	30.833333	100.641501	246.544618	25.885217	104.551667	-179.044167	-401.249333	-13.455388	-19.489500	42.046667	19.793333	-4.134845
RHPA4259_7__1B2530	22.7	-519.918346	-476.754306	929.321546	-29.599492	13.166667	10.333333	-1.883252	10.000000	6.500000	15.333333	16.666667	20.333333	28.833333	99.319743	243.964428	18.874667	90.086667	-195.271500	-459.378833	-14.259512	-19.223000	41.176667	19.631667	-3.165376
S018_18__1B2530	3.86	-1850.667009	-460.235859	2200.028563	-30.338614	12.666667	11.500000	-0.990700	9.833333	9.000000	20.000000	12.000000	18.500000	32.333333	101.052022	240.167191	25.132517	87.431667	-177.794667	-445.687167	-14.838011	-17.203500	44.825000	18.376667	-4.338608
SC422_8__1B2530	10.0	-425.494938	-501.185258	883.788785	-31.091488	11.500000	9.500000	-1.438293	13.833333	8.166667	16.500000	16.500000	21.166667	31.833333	103.612434	247.943523	27.175317	197.441667	-164.604833	-394.639667	-14.082256	-19.014167	43.668333	18.450000	-3.655272
T251_18__1B2530	9.847	-1218.597282	-475.882737	1586.029183	-30.563871	15.500000	13.333333	-1.598890	10.500000	8.500000	17.000000	13.500000	20.166667	31.333333	103.099379	249.915762	26.575400	39.773333	-203.086500	-480.873333	-13.766096	-17.782167	41.298333	19.740000	-6.882605
TH966_8__1B2530	0.367	-781.645964	-444.483461	1185.970889	-29.517601	9.833333	8.833333	-1.423925	13.666667	7.166667	13.333333	17.500000	19.000000	28.666667	103.297482	245.658418	20.994533	47.961667	-163.098833	-416.096500	-12.844091	-18.564167	44.070000	18.353333	-2.402462
TH976_17__1B2530	0.19	-776.420377	-471.439328	1186.954085	-30.061476	13.000000	10.500000	-2.279620	12.500000	7.666667	15.666667	20.500000	20.333333	30.500000	103.877737	244.961475	22.107100	80.085000	-171.110667	-440.084000	-13.575133	-20.659667	42.863333	19.103333	-4.243107
THRO4156__1B2530	8.67	-956.407634	-528.892716	1383.109261	-32.950113	14.166667	11.666667	-1.797058	16.833333	12.000000	16.333333	15.833333	20.000000	31.666667	109.502290	258.033135	24.629600	64.845000	-210.479667	-479.829500	-15.112914	-17.248000	43.113333	18.461667	-4.482768
TRO_11__1B2530	9.15	-1090.677568	-461.762852	1486.916229	-29.366267	12.000000	10.833333	-1.962563	10.333333	8.000000	12.666667	16.166667	20.333333	27.833333	100.454049	248.272615	21.570017	104.968333	-163.688167	-396.321000	-13.047483	-17.621667	41.893333	19.266667	-3.572765
TZBD_02__1B2530	0.133	-2214.165643	-480.581188	2569.192617	-29.976327	14.000000	11.500000	-1.933823	12.000000	7.666667	17.333333	15.166667	18.000000	30.833333	99.360627	245.291376	19.696650	37.916667	-203.587167	-502.916500	-15.415810	-18.533000	42.316667	20.495000	-6.205078
UG037_8__1B2530	39.5	-1034.076916	-501.058023	1450.839706	-30.720081	12.500000	11.333333	-2.440880	11.000000	9.000000	15.333333	14.500000	19.000000	33.500000	101.441646	246.209347	18.495333	45.263333	-203.762667	-507.807167	-15.186331	-18.070333	42.993333	18.085000	-7.522003
YU2__1B2530	0.25	-1022.835302	-514.294229	1450.559493	-30.223256	14.333333	12.000000	-2.317024	13.333333	7.500000	15.166667	15.500000	21.333333	31.666667	103.800130	244.568171	21.713733	150.711667	-188.097333	-445.916500	-14.135220	-18.404667	43.678333	19.391667	-5.327710
ZM214_15__1B2530	2.77	-1867.517609	-492.008328	2265.348441	-31.220739	14.000000	11.333333	-1.790329	14.166667	9.666667	16.500000	16.333333	22.833333	30.500000	102.510521	247.741842	24.165267	121.280000	-185.523000	-455.201667	-13.960421	-18.102333	42.701667	19.630000	-5.455162
ZM215_8__1B2530	0.054	-1210.590752	-460.094152	1585.625440	-29.445340	14.500000	10.000000	-1.891350	11.666667	8.500000	17.833333	10.333333	17.333333	33.000000	101.152822	239.494190	18.754400	127.735000	-201.944500	-509.254833	-14.699897	-16.346833	43.701667	20.045000	-8.607162
ZM53_12__1B2530	2.07696	-2162.866581	-492.446195	2526.015950	-31.569651	14.500000	12.333333	-1.789441	14.833333	8.166667	17.333333	14.833333	20.500000	30.833333	103.050715	241.479226	22.848767	73.068333	-203.542667	-521.290500	-14.860768	-18.178333	42.993333	19.631667	-5.440145
0013095_2_11__3BNC117	0.25761	-1123.978098	-446.532621	1397.325470	-28.480010	15.166667	13.166667	-1.897731	15.500000	8.666667	14.666667	29.333333	20.333333	17.500000	95.971391	237.358016	24.557000	-151.491833	-193.247833	-604.084500	-17.145966	-21.620667	39.838333	22.188333	-11.570370
001428_2_42__3BNC117	0.01451	-1568.376223	-457.245799	1798.019146	-29.242739	16.000000	14.333333	-2.136225	15.666667	6.833333	16.166667	29.500000	19.500000	17.166667	93.797377	233.984878	24.016833	-223.958500	-215.226333	-658.534167	-17.958647	-22.815167	41.113333	19.136667	-12.948867
0041_V3_C18__3BNC117	0.1	-1817.906456	-448.549621	2073.374086	-29.058946	15.500000	13.166667	-2.655085	13.000000	10.166667	14.500000	36.333333	21.333333	13.166667	90.487458	231.394480	22.997833	-200.564667	-213.202833	-599.616833	-17.887006	-23.454667	41.393333	19.028333	-11.596793
0260_V5_C36__3BNC117	0.19229	-1278.098405	-463.388753	1544.698357	-28.762405	14.833333	12.333333	-2.084936	15.500000	6.333333	14.666667	33.666667	18.666667	14.333333	94.013599	233.614693	23.141500	-203.028833	-207.024500	-595.444500	-16.668769	-24.521167	39.060000	18.495000	-12.136387
0301_BM_A12__3BNC117	0.38	-819.109498	-451.674046	1086.832936	-28.338235	12.500000	11.500000	-1.340444	15.000000	10.000000	13.333333	33.166667	20.833333	13.833333	95.171343	234.681860	23.373333	-268.558333	-210.610167	-648.078000	-17.404630	-22.224667	40.590000	18.463333	-14.058287
0301_BM_A2__3BNC117	0.07	-1752.306555	-439.258728	1984.238369	-28.585423	15.000000	13.166667	-1.364532	14.500000	9.500000	13.500000	33.833333	20.000000	14.000000	95.384043	235.469558	22.486167	-230.374000	-210.140667	-612.975833	-17.223301	-22.664833	40.635000	19.290000	-12.798107
0301_BM_A6__3BNC117	0.39	-1990.751232	-446.852579	2178.755737	-29.032350	16.833333	15.333333	-2.274124	14.166667	9.000000	14.666667	33.833333	19.000000	14.833333	94.105069	233.291484	17.599500	-289.874667	-233.158167	-701.870333	-17.798987	-23.342167	40.483333	18.816667	-15.605717
0330_V4_C3__3BNC117	0.01732	-701.264088	-474.574710	979.816724	-29.318751	15.166667	13.333333	-2.122025	13.833333	10.333333	14.166667	33.666667	19.333333	13.333333	94.333330	229.220412	23.409667	-250.611833	-226.687667	-658.740667	-17.262868	-22.364333	40.513333	18.671667	-12.605045
0404_BM_B9__3BNC117	0.05	-2629.052537	-475.847644	2875.957500	-31.193125	17.000000	15.500000	-1.448476	14.666667	10.500000	16.333333	32.500000	20.000000	21.333333	103.026850	236.841932	30.701167	73.391333	-189.592167	-490.184000	-17.001178	-23.751167	40.361667	19.090000	-10.570292
0404_BM_D4__3BNC117	2.46	-727.979366	-482.049575	1044.960941	-30.591826	14.333333	12.166667	-2.465032	17.500000	9.500000	13.000000	29.333333	23.333333	19.166667	99.032511	233.992598	27.597333	-46.710500	-185.869333	-524.770000	-17.019381	-21.570667	40.826667	18.986667	-13.122083
0404_BM_F3__3BNC117	0.09	-1749.891205	-491.402439	2038.514949	-31.969636	15.333333	14.000000	-1.681417	15.166667	11.500000	15.000000	35.500000	20.166667	18.166667	102.816266	237.139001	28.258167	-52.050667	-177.158500	-528.873333	-17.698896	-23.798167	40.521667	19.138333	-10.109188
0404_BM_G3__3BNC117	0.07	-1879.991796	-494.704603	2174.183000	-31.691202	14.833333	13.333333	-2.134003	14.500000	10.833333	14.833333	35.666667	21.000000	18.500000	102.539066	236.871980	30.572667	-36.345000	-194.753667	-531.408500	-17.657906	-24.485833	39.220000	18.608333	-10.974635
0404_BM_H4__3BNC117	0.08	-2031.733515	-529.477806	2327.935334	-32.722689	18.000000	15.666667	-2.880035	18.000000	12.500000	15.333333	36.333333	22.833333	18.666667	107.343676	240.570928	27.770500	-115.212167	-239.062833	-613.356333	-19.549289	-23.778833	40.610000	20.245000	-15.098667
0439_V5_C1__3BNC117	0.215	-744.430596	-480.058229	1063.086562	-29.332873	14.833333	13.000000	-2.501038	11.500000	11.000000	15.333333	34.666667	21.833333	15.333333	92.225114	234.640426	24.855667	-189.615500	-201.882000	-598.498000	-17.537571	-23.142167	40.116667	19.465000	-10.913138
0702_BM_B4__3BNC117	0.11	-1510.126395	-477.697847	1765.634725	-29.764103	15.500000	12.833333	-2.300517	13.000000	9.500000	14.000000	34.000000	20.833333	15.333333	90.803341	225.212856	20.964167	-335.501500	-232.401667	-726.765167	-17.732657	-22.717667	42.393333	19.695000	-15.365467
0702_BM_D1__3BNC117	0.12	-939.205602	-486.480570	1202.215287	-29.544488	15.166667	13.333333	-2.100474	13.833333	8.333333	15.166667	31.666667	19.333333	15.500000	94.302439	226.315780	23.670000	-336.487667	-253.644333	-762.613167	-17.938784	-22.358167	42.376667	19.813333	-13.924767
0815_V3_C3__3BNC117	0.01536	-77.127592	-450.520300	373.660911	-28.837360	13.166667	10.833333	-2.517090	14.000000	6.666667	14.666667	34.000000	21.000000	12.500000	90.635802	232.986111	23.264667	-195.550833	-221.381333	-619.672667	-16.283177	-23.897667	39.563333	19.820000	-11.699477
0921_V2_C14__3BNC117	0.22224	-910.433506	-431.375949	1178.118010	-27.727135	13.333333	12.333333	-1.999176	13.833333	9.500000	12.833333	29.500000	17.333333	15.833333	93.919989	227.636945	19.838000	-207.029167	-178.877333	-566.068667	-16.881509	-20.806000	41.808333	18.683333	-12.726267
